,제목,저자,번역,출간일,쪽수,판매가
136,"IT CookBook, C# 프로그래밍 2판",윤인성,,2021-01-05,580,26000
137,"IT CookBook, 게임 제작으로 배우는 유니티","이종원 , 정종필",,2021-01-05,496,30000
138,"IT CookBook, 난생처음 R 코딩 & 데이터 분석","오세종 , 신현석",,2021-01-05,496,25000
139,"IT CookBook, 난생처음 인공지능 with 스크래치",고광일,,2021-01-05,364,23000
140,"IT CookBook, 난생처음 컴퓨팅 사고 with 파이썬",김명호,,2021-01-05,460,23000
141,"IT CookBook, 초융합 시대의 멀티미디어와 콘텐츠","김용태 , 박길철",,2021-01-05,516,29000
142,"IT CookBook, 파이썬으로 만드는 인공지능","오일석 , 이진선",,2021-01-05,608,31000
143,"IT CookBook, 핵심이 보이는 전자기학",김성중,,2021-01-04,548,28000
144,"Statics and Mechanics of Materials, 3rd Edition","Ferdinand Beer , E. Johnston , John DeWolf , David Mazurek",,2021-01-01,864,45000
145,"IT CookBook, 데이터 과학 기반의 파이썬 빅데이터 분석",이지영,,2020-12-30,440,28000
146,"IT CookBook, 전자기학 : 풍부한 그림으로 형상화하여 이해하는 전자기학의 핵심",김동명,,2020-12-17,688,38000
147,"IT CookBook, 쉽게 배우는 자바 프로그래밍 2판",우종정,,2020-11-22,780,29000
148,포르잔 C++ 에센셜,"Behrouz A. Forouzan , Richard F. Gilberg",윤인성,2020-11-10,756,32000
149,플랫폼 비즈니스를 위한 경영정보시스템,"정창근 , 김종락 , 김시영",,2020-10-20,522,29000
150,"IT CookBook, 액세스 2019로 배우는 데이터베이스 기초와 실습",김지연,,2020-09-28,536,28000
151,뉴 머신시대의 기업가정신을 찾아서,이건창,,2020-09-20,180,18000
152,세계화와 지역화 : 한국의 선택은?,황해두,,2020-09-10,256,17000
153,포르잔 C++ 바이블,"Behrouz A. Forouzan , Richard F. Gilberg",윤인성,2020-08-31,1192,45000
154,4차산업혁명시대의 창업실무,"조보상 , 윤두열",,2020-08-26,468,28000
155,딥러닝을 위한 선형대수학,Gilbert Strang,부산대학교 산업수학센터(FFMIMC),2020-08-05,560,38000
156,"IT CookBook, 오라클로 배우는 데이터베이스 개론과 실습(2판)","박우창 , 남송휘 , 이현룡",,2020-07-30,600,29000
157,대학을 버려야 대학이 산다,조동성 외 인천대학교 가족 178명,,2020-07-25,216,18000
158,"IT CookBook, 따라 하면서 배우는 사물인터넷",양재삼,,2020-07-23,448,28000
159,R로 하는 다변량 데이터 분석 : 이론부터 실무 활용까지,"카와하시 잇코 , 이와마 노리카즈 , 스즈키 마사유키",권기태,2020-07-10,544,32000
160,창의적 공학설계(3판),김은경,,2020-07-10,408,23000
